,cluster,rank,cohort,best_time,xp,achievement_rating,TL_games_played,TL_games_won,TL_play_time,num_records,time_played,final_time_avg,pps_avg,inputs_avg,score_avg,pieces_placed_avg,singles_avg,doubles_avg,triples_avg,quads_avg,all_clears_avg,finesse_faults_avg,finesse_perf_avg,percent_perf_avg,kpp_avg,kps_avg,final_time_pb,pps_pb,inputs_pb,score_pb,pieces_placed_pb,singles_pb,doubles_pb,triples_pb,quads_pb,all_clears_pb,finesse_faults_pb,finesse_perf_pb,percent_perf_pb,kpp_pb,kps_pb
11,11,71127.85031847133,57.96942675159236,58.0,1578969.9174521987,48.554140127388536,535.8987261146497,242.84713375796179,563858.2459283622,813.2828025477708,56058473.01223602,80216.79118785329,1.5431326826564196,416.1809247977543,11127.698816101007,108.32981848471785,12.16826608436886,4.45255023067165,1.3707556506318723,3.602704607573358,0.026261923217697002,77.24912116277193,70.79171489678032,0.6554510477128722,3.8354088002524973,5.724359437375379,57092.02653927814,1.9828255583828507,358.8375796178344,11377.483439490446,102.57770700636942,10.685350318471338,3.9254777070063693,1.2630573248407644,4.370700636942675,0.044585987261146494,54.18853503184713,72.77261146496815,0.7097330353503427,3.4977547344509228,6.7734330192871814
12,12,99277.31269349845,63.10061919504644,63.0,1159517.6339074627,19.064499484004127,898.186790505676,402.88802889576885,361210.7988089798,21.780701754385966,75176509.30963662,86057.17816763846,1.5110504538775493,431.66914754029693,21784.968499880528,107.37708661710205,8.618743138975756,3.376651079019858,0.7490445588932474,2.9973456412783905,1.2257273166450704,55.263129947331,80.62707044277143,0.7525705331949206,4.012940205786424,5.903405517984708,63386.22291021672,1.891968404498813,401.09597523219816,25955.798245614034,104.562435500516,7.444788441692467,3.4045407636738907,0.5815273477812177,2.365841073271414,1.7641898864809082,33.32559339525284,86.14499484004128,0.8248008117732354,3.8331343325412184,7.14212680001765
13,13,132804.17730932136,76.09437744511624,76.0,314716.9087447941,2.2689062045329624,277.59293866597693,124.90348863526141,99507.59556822816,13.422483753111965,93269419.79118344,90993.43142154305,1.2282838060224823,464.08902848159823,11802.216397312439,108.00793356370652,8.501701842846753,3.076128792007909,1.3884523307359131,5.297337521887742,0.014362921614116923,108.41072424422936,58.05415297219411,0.537574762058063,4.294570341731525,5.235188692081995,76554.95861489217,1.384208970012296,427.90979339778204,12192.873646092663,104.6641016521711,6.549839956028323,2.0142261308157394,1.2838113097739985,6.4075463157554395,0.00232791231530279,93.48653367389828,58.72834556565036,0.5610722884590844,4.088119642177087,5.645875280608549
14,14,136670.90965611037,75.14299591995336,75.0,1878580.578135006,12.549009131532932,1880.566446473674,824.5033028948902,538127.6666813715,15.754808626384301,95895659.17519444,93777.87599379348,1.2439393948573394,451.57229371720206,11567.718412886281,107.43293426734864,11.19427238009119,4.18425906607045,1.461933003787486,3.8963836982300255,0.03930463844116001,98.65039950852777,61.91057324299091,0.5770044599456543,4.19725175348522,5.127470784448474,75581.01045916716,1.442168854338878,413.2122595686808,11572.164513308724,104.25568292209054,10.247085680979211,3.8087235282688945,1.3897901690305032,4.451428016320187,0.02802603458325238,81.40980182630659,63.53856615504177,0.6098149362286712,3.961573564981567,5.6559623071621585
15,15,161899.33063621534,80.13722675367048,80.0,971191.522995527,41.36065252854812,616.0718433931485,277.0759543230016,271570.0260332676,57.54877650897227,41464630.84516311,103373.2747495326,1.1301199723145008,466.79902251777804,11246.314540909847,108.4427374958409,12.264212568738133,4.318648733726031,1.4819200301081377,3.5700110882391054,0.02353580565466588,109.94034389629945,59.486047396948734,0.5491520361272525,4.299774607123379,4.7796759431544915,79067.61533442089,1.3640080892976791,416.1011419249592,11394.850962479608,104.25931484502448,10.861468189233278,3.7325285481239803,1.41931484502447,4.319282218597063,0.015464926590538336,85.3647634584013,62.064926590538334,0.5954802792894615,3.9898288960625368,5.4005741922388655
16,16,169723.55628464036,82.5939670000637,83.0,259541.31596133224,2.9065107982417024,200.95180607759445,85.71685672421482,86670.1328779359,15.797477224947443,68988681.8576692,98119.3625285297,1.1316229343983328,421.6149860534913,10338.210379206714,107.48200703292427,15.098451626522008,5.351153054227199,1.6501453419329126,2.3250702033239405,0.014704840837535257,84.22470478979685,65.83673750451625,0.6128547642032344,3.9204377944586417,4.407371471199804,82973.01708394387,1.2722420298287946,387.2970312798624,10212.473243294897,104.1918200930114,15.274033254762056,5.270083455437344,1.6615276804484933,2.3104414856341977,0.002325285086322227,68.6574823214627,67.79547047206472,0.6506819860850135,3.716708238617668,4.719545642409192
17,17,208716.0472210093,88.90668080593849,89.0,343871.7570928673,2.4221508327615244,349.62625538020086,147.41781548250265,110778.35757006325,13.900879545879858,100257093.42298251,105909.63385387235,1.0540140800685371,525.1471378174386,10129.410213871708,108.1553493737503,15.123231852964148,5.441580148328575,1.7285476232866726,2.2320409802913748,0.011302165769370978,157.34490474753727,44.96490803595722,0.4157966711852304,4.853025190957514,5.077099139058941,89341.76834466554,1.1841777285910244,481.57903437090636,10024.677905308465,104.40599463539392,15.11983032873807,5.573856902251887,1.7042604952903748,2.1743808870313766,0.00043665398290811553,137.93238101178966,45.45480631276901,0.43522505045048593,4.61269336534234,5.446272498508977
18,18,265447.0345580211,97.13657491613112,97.0,187402.4048531129,2.764843781577139,159.30136211147487,70.06907562345904,62858.53421067818,11.340325775029303,70507548.88124213,115632.54966860358,0.9934053494177117,439.2892535927362,13164.181055004152,109.77063808117208,7.552773514765519,2.313047405303642,1.0389788775378472,5.948991233842721,0.026575568813533266,83.21644671250324,69.52450745324715,0.6334420405468212,3.999412955157078,3.9391952442489395,97445.23341821268,1.1230667036959958,407.95032537084194,13464.696657370358,106.93403661937674,5.671516915241906,1.4137666222060548,0.8609191221050079,7.114021260256255,0.0030718240976516714,70.00654783557657,70.7519097853765,0.6619071068014429,3.8130566391539635,4.2640628829455665
19,19,278232.72310905566,99.04815008205281,99.0,182802.71058806274,1.7871848426077876,166.9561390422199,68.82877069968671,58581.50141894604,9.699201849917948,79765360.4599606,114351.68677594206,0.9878284895491309,469.0414738484218,10295.21349275183,109.10697286255362,14.424320965707704,7.6703791258190686,1.7420445899485661,1.292098936898048,0.008112807412931076,114.46844544840589,58.15716884230298,0.533026798352114,4.297488149167606,4.214757364440141,99488.70847630413,1.088579029913973,435.83268685663137,10331.473780396836,106.0672833059824,13.25432642100552,9.131993137401164,1.5776517977025213,0.9815008205281217,0.0003356705952558556,98.94677756228555,59.46016708936297,0.5603896594779485,4.10879917294562,4.45673862432218
20,20,323603.7818181818,105.79686520376175,106.0,440053.90682948055,8.175548589341693,360.72100313479626,154.67899686520377,132111.78356343714,9.364263322884012,70647954.69395694,126417.0893000424,1.1025149089060458,500.515373308237,24049.697384499734,116.17778092801035,6.437268071176049,2.0273058337449297,0.6078248167087883,2.208246396238078,0.08656075054371055,74.47526039353814,82.63443729851966,0.7097966370131998,4.304860560565673,4.6069601715852535,106081.48171368861,1.2876428081941549,477.6984326018809,25993.99498432602,114.41818181818182,4.926645768025079,1.5442006269592476,0.5153605015673981,2.258307210031348,0.064576802507837,58.241379310344826,85.52037617554859,0.7476856400868782,4.167114243458292,5.240513378665621
