,id,username,rank,cohort,best_time,best_record,country,created_date,xp,achievement_rating,TL_games_played,TL_games_won,TL_play_time,num_records,time_played,final_time_avg,pps_avg,inputs_avg,score_avg,pieces_placed_avg,singles_avg,doubles_avg,triples_avg,quads_avg,all_clears_avg,finesse_faults_avg,finesse_perf_avg,percent_perf_avg,kpp_avg,kps_avg,final_time_pb,pps_pb,inputs_pb,score_pb,pieces_placed_pb,singles_pb,doubles_pb,triples_pb,quads_pb,all_clears_pb,finesse_faults_pb,finesse_perf_pb,percent_perf_pb,kpp_pb,kps_pb,cluster,cluster_name
8772,618c55fabac22ab31db6b7e6,quiche0201,9335,37,37933.333333333336,6695d245831a250b87fc702c,TW,2021-11-10T23:30:02.994Z,1680260.5,8,2729,775,516058.711666668,29,99168082.16007614,83556.9540229885,1.5815669913472983,421.9655172413793,12334.48275862069,107.75862068965517,6.655172413793103,2.6206896551724137,1.4482758620689655,5.9655172413793105,0.034482758620689655,77.44827586206897,67.79310344827586,0.6305798208627852,3.9080190160441375,5.872865247131592,37933.333333333336,2.6625659050966606,328,10984,101,11,3,1,5,0,38.0,72.0,0.7128712871287128,3.2475247524752477,8.646748681898066,14,Frog
6201,652bd000cf9a0baa3dcf7050,lkau,6541,35,35170.0,66eec6e6c88b4379f6374b42,AU,2023-10-15T11:41:52.572Z,649192.9840283298,48,376,142,207481.8128888888,224,38384972.57775545,94219.59821428571,1.1628430668293934,413.23214285714283,10051.36607142857,104.83482142857143,18.986607142857142,5.125,1.0892857142857142,1.90625,0.013392857142857142,86.23660714285714,62.808035714285715,0.5992709812356748,3.9407735232898444,4.53532682997813,35170.0,2.9004739336492893,349,11398,102,14,1,0,6,0,17.0,86.0,0.8431372549019608,3.4215686274509802,9.92323002558999,15,Gazelle
17602,651413bda881bdb2acbc9bd3,wanboxin,18795,44,44770.0,669602cc831a250b8723ca48,TW,2023-09-27T11:36:29.223Z,35733.0,0,28,16,22859.302555555565,19,39940495.94805479,177705.70175438598,0.7064723269639428,442.63157894736844,10031.684210526315,108.6842105263158,17.0,5.421052631578948,1.1578947368421053,2.210526315789474,0.0,99.94736842105263,65.26315789473684,0.6048959709267706,4.040412048513462,2.8052720873131243,44770.0,2.501675228947956,423,14836,112,25,3,1,1,0,39.0,91.0,0.8125,3.7767857142857144,9.448291266473085,16,Giraffe
13022,6259a221d3bd9034fba6dc50,kingkai23,13905,41,41486.66666666666,6695f98a831a250b871c4fbf,US,2022-04-15T16:49:37.012Z,294919.0,0,476,101,90281.71966666669,10,85713708.15119815,191766.8333333333,0.7282727731068815,867.3,10246.4,109.8,12.9,5.0,1.9,2.9,0.0,456.0,17.6,0.16402713428849375,7.874988712398706,4.842585957849171,41486.66666666666,2.4586212437731,343,11594,102,9,4,1,5,0,38.0,71.0,0.696078431372549,3.3627450980392157,8.267716535433072,17,Greyhound
17762,650da3b055a5bf62f4304c1f,cc-cccc,18969,44,44870.0,6695ff05831a250b8720bc48,TW,2023-09-22T14:24:48.541Z,1265.0,0,0,0,1398.6438888888888,3,40362396.630331516,359628.88888888893,0.9261236536462848,492.3333333333333,10474.666666666666,107.0,8.666666666666666,4.666666666666667,1.3333333333333333,4.666666666666667,0.0,65.0,81.66666666666667,0.7672378974092666,4.593589521666378,3.0555759328440124,44870.0,2.3623802094940944,310,14164,106,4,0,0,9,0,5.0,103.0,0.9716981132075472,2.9245283018867925,6.908847782482728,18,Hare
31335,671af2c59c06340f55c21f30,4cb0i,33444,52,52110.0,671af7886342213894eeead0,US,2024-10-25T01:22:13.241Z,7945.0,1,0,0,8809.268333333333,10,5935751.9551513195,214809.66666666666,0.6050766369420391,673.5,8884.7,104.4,20.1,6.9,1.3,0.6,0.0,298.0,21.4,0.20642259193943943,6.441632386005601,3.4071238786887554,52110.0,1.957773512476008,329,9068,102,17,10,1,0,0,53.0,77.0,0.7549019607843137,3.2254901960784315,6.313567453463826,19,Hummingbird
3041,5e97e67b8f5a347e3e4a203e,juz,3143,30,30498.33333333333,669542d1c7e46469fdae6937,NZ,2020-04-16T05:00:43.994Z,63737.0,0,48,20,23977.63030388861,19,148741841.149503,34266.84210526316,3.1480807141876626,381.5263157894737,30124.526315789473,107.47368421052632,0.7368421052631579,0.2631578947368421,0.0,3.0,0.0,11.052631578947368,98.63157894736842,0.917614579711415,3.550330810319479,11.178043564900344,30498.33333333333,3.5083884365265865,386,31311,107,0,0,0,3,0,11.0,97.0,0.9065420560747663,3.607476635514019,12.65642931307722,20,Hyena
23372,66b5d033739b842d0bbb1105,anggarrr,24950,48,48135.0,670e1010617589d4f9b0c924,ID,2024-08-09T08:15:47.192Z,35510.0,9,12,0,25771.02466666666,75,12563737.989570856,226430.91111111108,0.575763569468067,722.0266666666666,9373.666666666666,115.2,16.426666666666666,5.6,2.013333333333333,1.6933333333333334,0.0,308.44,31.4,0.2751167975531008,6.250410040821874,3.3204992819609718,48135.0,2.098337950138504,334,14280,101,0,0,0,10,0,41.0,75.0,0.7425742574257426,3.3069306930693068,6.938817907967176,21,Ibex
30634,65c319fb45a83f3b527c99e4,yellow_china,32703,51,51788.333333333336,669614b1831a250b8731dd88,PH,2024-02-07T05:49:47.464Z,40513.94324200988,17,49,7,24855.700999999983,18,28470097.730895042,198324.9074074074,0.7537835983016548,758.0555555555555,10512.5,119.33333333333333,11.277777777777779,4.611111111111111,1.3888888888888888,3.888888888888889,0.0,335.5,30.555555555555557,0.2662082470433591,6.2838593631868935,4.1834312027288245,51788.333333333336,1.9888649309690083,393,14093,103,1,0,1,9,0,69.0,73.0,0.7087378640776699,3.8155339805825244,7.588581726901168,22,Impala
35182,6180c9610bf7c9b332a981fb,han2895,37528,53,53751.66666666666,66963819831a250b874ce1be,MY,2021-11-02T05:15:13.925Z,4951.0,0,1,0,4069.431777777778,7,99924971.27789879,415029.28571428574,0.6684753922830605,521.8571428571429,8844.42857142857,108.57142857142857,17.571428571428573,5.714285714285714,1.0,2.0,0.0,127.71428571428571,69.42857142857143,0.6461215230831475,4.76783930693942,2.5479655613593137,53751.66666666666,1.9162196521038108,353,11810,103,11,1,1,6,0,36.0,78.0,0.7572815533980582,3.4271844660194173,6.567238225171313,23,Jackrabbit
29477,63f43438b507939b0a628e98,elicvr,31479,51,51241.66666666666,6695dc0a831a250b87046892,HK,2023-02-21T03:02:16.256Z,612370.0,5,540,228,146820.56533333322,10,58806548.936804056,96531.33333333333,1.2680187140533046,719.3,10959.0,108.7,9.4,3.8,1.6,4.6,0.0,506.6,11.4,0.10024433913908201,6.662496976994009,7.762656165710936,51241.66666666666,2.0881444137258094,500,11082,107,5,1,3,6,0,257.0,31.0,0.2897196261682243,4.672897196261682,9.757684176288828,24,Kangaroo
9624,5fd5d1b03a6a8b21b89df6ee,leio,10242,38,38733.333333333336,66956b44a2f6b8219ae107f4,HK,2020-12-13T08:32:48.859Z,392327.0,0,926,144,133631.6342222224,14,127906716.29658985,104742.97619047618,1.3623087316756397,544.7142857142857,12063.714285714286,110.28571428571429,9.714285714285714,6.214285714285714,1.2142857142857142,3.357142857142857,0.14285714285714285,125.92857142857143,62.357142857142854,0.5764004157557553,4.854677821873127,5.866116435400656,38733.333333333336,2.633390705679862,363,24319,102,13,7,0,0,2,13.0,95.0,0.9313725490196079,3.5588235294117645,9.371772805507746,25,Lemur
88628,646295aebc39ab99bc621113,johndkoe,92969,69,69364.99999999999,6695f5eb831a250b871964ab,US,2023-05-15T20:27:26.243Z,24685.0,0,23,9,12413.039444444445,16,51572639.05697274,211284.47916666666,0.562785646457242,581.0625,8964.25,107.75,20.9375,6.375,1.3125,0.625,0.0,228.375,30.1875,0.2803736527196105,5.380215524819542,2.960873746825064,69364.99999999999,1.528148201542565,471,9110,106,18,8,2,0,0,107.0,49.0,0.46226415094339623,4.443396226415095,6.790167952137247,26,Lion
98884,60b25488ebd1d4135a62aff3,braydoss,103464,71,71591.66666666667,6695c8ab831a250b87f485af,AU,2021-05-29T14:49:44.389Z,6290.0,0,6,1,3484.7688888888893,5,113455300.92864275,254243.66666666666,0.5953080455742735,712.4,8791.6,110.0,16.8,6.0,2.6,0.8,0.0,276.0,35.0,0.32054863353221336,6.413375227119706,3.4176784534018005,71591.66666666667,1.4387149342335,480,9000,103,19,6,3,0,0,138.0,44.0,0.42718446601941745,4.660194174757281,6.704690955651262,27,Meerkat
97759,64a3de2d7056d5481142e073,londongirl,102314,71,71343.33333333333,6695ed54831a250b871274bd,PH,2023-07-04T08:54:05.121Z,719565.0,0,489,204,195656.0775555556,12,47294240.19487572,263641.11111111107,0.5246792068074259,607.0,8864.666666666666,121.66666666666667,20.666666666666668,5.583333333333333,2.0833333333333335,0.5,0.0,214.0,41.833333333333336,0.3479473379365981,4.973463711213493,2.4922646062172213,71343.33333333333,1.4577395692192685,375,12326,104,12,6,4,1,0,50.0,74.0,0.7115384615384616,3.605769230769231,5.256272485165631,28,Moose
58464,636fa5856860b6f7bc354c93,gl1tchv,61905,61,61570.0,66960656831a250b8726963f,PE,2022-11-12T13:54:13.193Z,37301.0,0,98,48,18593.502888888896,13,67493832.0508008,173105.25641025638,0.77656013334554,753.1538461538462,10111.153846153846,111.53846153846153,9.846153846153847,5.3076923076923075,2.230769230769231,3.3076923076923075,0.0,338.3076923076923,27.615384615384617,0.24504930953036272,6.759975948979091,4.703853095132064,61570.0,2.0302095176222186,499,8366,125,16,9,2,0,0,46.0,99.0,0.792,3.992,8.104596394347897,29,Mouse
177478,5f6459d2454e942b4fe08d6c,oxys,183395,85,85990.0,66954b4ac7e46469fdb550ec,DK,2020-09-18T06:55:14.067Z,209921.0,0,216,68,58642.69699999999,9,135342971.3913238,256768.88888888888,0.604079731392305,684.0,9288.555555555555,115.0,17.0,6.555555555555555,1.2222222222222223,1.5555555555555556,0.0,232.22222222222223,44.333333333333336,0.3940523236455766,5.889326955284572,3.1218178859237393,85990.0,1.1861844400511687,433,10870,102,12,7,2,2,0,66.0,65.0,0.6372549019607843,4.245098039215686,5.035469240609373,30,Numbat
174392,603ed1529b640b2f867280f6,ssmaster,180276,85,85475.0,669576d4a2f6b8219aeb3256,BR,2021-03-02T23:59:14.247Z,384752.0,0,471,160,139580.11644444437,10,121025531.2060082,188257.3333333333,0.6382759852074635,794.2,9047.3,114.0,16.0,7.4,1.7,1.1,0.0,352.6,13.1,0.11740914281735401,6.936471201515855,4.352839960428451,85475.0,1.181632056156771,573,9169,101,20,7,2,0,0,182.0,30.0,0.297029702970297,5.673267326732673,6.703714536414156,31,Opossum
124514,646195f404d3b3bf68b9c80f,zhidao,129665,76,76758.33333333333,6695e7b9831a250b870de9f2,CN,2023-05-15T02:16:20.160Z,50195.0,4,9,2,55580.82911111109,43,51638105.204101324,112473.91472868217,1.0000638484338455,639.6279069767442,9649.860465116279,110.4186046511628,15.465116279069768,5.744186046511628,2.0930232558139537,1.7209302325581395,0.0,263.72093023255815,24.627906976744185,0.22370213280128887,5.77961722013464,5.878024376526188,76758.33333333333,1.5372923678210837,978,9144,118,19,7,1,1,0,499.0,10.0,0.0847457627118644,8.288135593220339,12.741287590923896,32,Panther
176323,63a27ad6c1234be080634534,andy0903,182230,85,85796.66666666667,6695ccfc831a250b87f81554,TW,2022-12-21T03:17:42.729Z,44641.0,0,22,1,19169.209222222224,5,64162422.72736335,405028.6666666666,0.436366780470894,653.2,8966.6,115.4,21.2,4.8,1.6,1.2,0.0,256.4,39.4,0.3440251605020217,5.653233770083429,2.1976243829171325,85796.66666666667,1.2005128404366914,442,8674,103,29,4,1,0,0,133.0,52.0,0.5048543689320388,4.29126213592233,5.151715295854539,33,Parrot
185033,64187620ec2f099b3a5df2d2,jacko0113,191035,87,87230.0,6695d79b831a250b8700c902,TW,2023-03-20T15:05:04.726Z,17626.0,0,37,25,9039.420333333332,8,56430380.74526787,285924.1666666667,0.49920010302020584,703.75,10642.75,114.75,15.0,5.125,1.25,2.5,0.0,273.625,38.75,0.33612170673699604,6.146286625091372,2.80985236435158,87230.0,1.238106156138943,394,14941,108,0,0,0,10,0,43.0,77.0,0.7129629629629629,3.6481481481481484,4.516794680729107,34,Polar Bear
258905,65924234a19a57e35dd6a306,lucasmachado123,265601,98,98411.66666666669,66961f0f831a250b8739f374,BR,2024-01-01T04:40:20.705Z,43350.0,0,33,3,19612.40422222222,7,31671064.89864731,355149.04761904763,0.43855564393744667,941.4285714285714,8622.142857142857,118.28571428571429,19.0,4.142857142857143,1.2857142857142858,2.2857142857142856,0.0,442.57142857142856,48.57142857142857,0.4158819600428843,7.9285627914763195,3.0767603661904235,98411.66666666669,1.229529019255847,485,12026,121,8,0,0,8,0,110.0,71.0,0.5867768595041323,4.008264462809917,4.928277473876741,35,Pudu
221635,6513b83897d471df74f01f59,timmythepro,227990,92,92911.66666666669,6695fddd831a250b871fcf21,ID,2023-09-27T05:06:00.000Z,4415.0,0,0,0,5564.206111111112,8,39963925.535399914,286518.3333333333,0.6017498028152853,992.75,8638.75,115.625,23.125,6.125,1.125,0.375,0.0,525.25,24.5,0.22649840613266456,8.28563998112902,3.8369660697568078,92911.66666666669,1.0978169228837429,426,9412,102,16,7,2,1,0,114.0,44.0,0.43137254901960786,4.176470588235294,4.585000089690924,36,Puma
131286,6119ceff3334fb5aa7eced90,cyberian,136554,78,78001.66666666667,669576ffa2f6b8219aeb58bc,RU,2021-08-16T02:35:43.228Z,49420.0,0,2,0,29908.58811111111,5,106673742.14712691,291571.6666666666,0.6063436625888878,751.0,8889.8,120.0,17.2,6.8,1.8,1.0,0.0,335.8,34.4,0.2835193097318854,6.296239176599068,3.5225153193169634,78001.66666666667,1.6666310548919894,675,9512,130,18,7,2,1,0,295.0,41.0,0.3153846153846154,5.1923076923076925,8.653661246554561,37,Quokka
213953,60bc1a3174f5d3545f6751d1,4k1y0k0,220244,91,91746.66666666669,66956e6da2f6b8219ae3c6a8,BR,2021-06-06T00:43:29.297Z,3680.0,0,0,0,3107.2872222222218,6,112814876.22447515,426080.8333333333,0.4493059054985616,632.8333333333334,8138.333333333333,114.83333333333333,21.0,6.166666666666667,1.1666666666666667,1.0,0.0,155.33333333333334,70.5,0.5822058402927937,5.570458962047841,2.414025663644292,91746.66666666669,1.1771544833599767,502,10121,108,13,9,2,1,0,165.0,46.0,0.42592592592592593,4.648148148148148,5.471588431913965,38,Rabbit
345390,658030ef419b532dd384d499,fwdvka,352605,110,110440.0,66960abd831a250b872a13f4,MN,2023-12-18T11:45:51.072Z,9556.0,0,15,3,4849.289444444444,7,32855134.689898014,256667.85714285713,0.5260353084998723,672.5714285714286,9006.857142857143,108.71428571428571,14.571428571428571,9.428571428571429,1.1428571428571428,0.8571428571428571,0.0,297.42857142857144,29.571428571428573,0.278525214690011,6.138745988827379,2.8592482638516614,110440.0,0.9869612459253894,432,9322,109,17,10,0,1,0,114.0,58.0,0.5321100917431193,3.963302752293578,3.9116262223831946,39,Raven
317473,605dff60a0896d23af1dd5bc,reguinho,324550,106,106658.33333333331,669603e4831a250b8724a6fe,BR,2021-03-26T15:36:00.134Z,113959.22953248688,3,65,12,49594.772777777776,15,118982125.57784295,121590.1111111111,0.9446095673351105,1030.8,10077.2,114.33333333333333,18.2,7.133333333333334,1.6666666666666667,0.4,0.0,533.8666666666667,6.466666666666667,0.056660152740262974,8.99464861538175,8.476546557900091,106658.33333333331,1.0313305727009925,972,8928,110,28,6,0,0,0,535.0,5.0,0.045454545454545456,8.836363636363636,9.113211969685134,40,Serval
